@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
11,10,10,28,20,7,0,7,0,4,0,0.428571,1,0.076923,0,0,0,0,0.7,1,0,1,0,0,0,0,0,1,0
